iter	Passed	Remaining
0	16	16663
1	32	16184
2	48	16091
3	67	16792
4	88	17549
5	105	17415
6	125	17838
7	192	23920
8	262	28919
9	300	29782
10	369	33240
11	432	35623
12	527	40016
13	564	39735
14	639	41990
15	677	41668
16	742	42913
17	814	44417
18	883	45623
19	960	47048
20	987	46026
21	1054	46881
22	1083	46021
23	1136	46224
24	1220	47587
25	1260	47231
26	1325	47769
27	1359	47207
28	1397	46800
29	1436	46434
30	1466	45844
31	1496	45261
32	1513	44341
33	1537	43695
34	1564	43130
35	1588	42528
36	1623	42245
37	1645	41658
38	1678	41353
39	1704	40900
40	1721	40266
41	1739	39666
42	1768	39352
43	1795	39009
44	1826	38770
45	1844	38252
46	1863	37777
47	1881	37324
48	1901	36911
49	1920	36481
50	1940	36101
51	1968	35892
52	1990	35558
53	2009	35202
54	2036	34996
55	2056	34665
56	2084	34483
57	2109	34260
58	2145	34225
59	2183	34200
60	2219	34165
61	2247	34007
62	2286	34009
63	2326	34024
64	2363	33995
65	2395	33899
66	2423	33749
67	2465	33795
68	2499	33718
69	2538	33720
70	2603	34060
71	2634	33949
72	2685	34104
73	2715	33978
74	2733	33715
75	2775	33750
76	2810	33684
77	2833	33494
78	2853	33261
79	2896	33307
80	2938	33337
81	2966	33206
82	2994	33088
83	3013	32857
84	3030	32618
85	3053	32454
86	3068	32199
87	3090	32023
88	3127	32008
89	3157	31924
90	3180	31765
91	3219	31773
92	3258	31780
93	3293	31740
94	3334	31766
95	3375	31788
96	3402	31674
97	3449	31746
98	3487	31736
99	3517	31659
100	3560	31687
101	3583	31551
102	3624	31565
103	3666	31585
104	3715	31673
105	3757	31687
106	3807	31775
107	3836	31684
108	3865	31597
109	3884	31426
110	3914	31353
111	3944	31272
112	3980	31247
113	4010	31171
114	4031	31026
115	4050	30867
116	4069	30715
117	4087	30550
118	4114	30464
119	4132	30303
120	4167	30271
121	4187	30134
122	4203	29968
123	4219	29809
124	4243	29704
125	4260	29553
126	4283	29446
127	4301	29302
128	4318	29160
129	4342	29059
130	4360	28924
131	4379	28801
132	4412	28764
133	4432	28645
134	4459	28575
135	4497	28570
136	4524	28501
137	4540	28362
138	4575	28344
139	4595	28230
140	4612	28099
141	4641	28043
142	4670	27990
143	4693	27898
144	4711	27782
145	4728	27655
146	4757	27606
147	4779	27515
148	4796	27394
149	4815	27286
150	4829	27153
151	4845	27030
152	4869	26954
153	4895	26890
154	4910	26768
155	4927	26660
156	4943	26542
157	4960	26434
158	4985	26368
159	5000	26253
160	5034	26237
161	5056	26157
162	5073	26053
163	5091	25952
164	5107	25848
165	5132	25783
166	5149	25683
167	5168	25596
168	5185	25499
169	5203	25406
170	5222	25318
171	5245	25253
172	5264	25168
173	5286	25094
174	5306	25017
175	5334	24977
176	5365	24949
177	5389	24888
178	5418	24851
179	5436	24765
180	5459	24704
181	5496	24704
182	5516	24628
183	5554	24633
184	5594	24647
185	5615	24573
186	5632	24489
187	5666	24474
188	5686	24400
189	5701	24305
190	5740	24313
191	5755	24223
192	5777	24158
193	5797	24087
194	5811	23993
195	5831	23920
196	5851	23852
197	5865	23758
198	5883	23680
199	5901	23605
200	5923	23545
201	5936	23451
202	5953	23374
203	5974	23310
204	5995	23252
205	6012	23172
206	6025	23082
207	6041	23004
208	6061	22939
209	6076	22857
210	6095	22793
211	6110	22714
212	6129	22647
213	6153	22600
214	6168	22522
215	6188	22462
216	6206	22393
217	6226	22333
218	6241	22258
219	6256	22181
220	6274	22115
221	6290	22043
222	6306	21974
223	6325	21912
224	6343	21848
225	6360	21783
226	6380	21727
227	6394	21652
228	6417	21605
229	6434	21541
230	6453	21483
231	6472	21425
232	6499	21395
233	6515	21326
234	6532	21264
235	6550	21204
236	6568	21145
237	6586	21088
238	6606	21034
239	6623	20975
240	6641	20915
241	6658	20856
242	6676	20798
243	6697	20750
244	6713	20687
245	6738	20652
246	6753	20589
247	6769	20526
248	6786	20469
249	6804	20413
250	6818	20345
251	6834	20285
252	6850	20227
253	6866	20165
254	6880	20100
255	6897	20044
256	6914	19989
257	6932	19937
258	6949	19883
259	6966	19829
260	6986	19782
261	7005	19732
262	7023	19683
263	7044	19637
264	7062	19588
265	7076	19527
266	7092	19472
267	7112	19425
268	7130	19376
269	7144	19317
270	7164	19272
271	7188	19238
272	7204	19186
273	7222	19136
274	7238	19083
275	7255	19032
276	7275	18989
277	7295	18947
278	7313	18900
279	7334	18859
280	7352	18811
281	7369	18763
282	7389	18721
283	7406	18672
284	7432	18645
285	7446	18590
286	7470	18558
287	7491	18521
288	7511	18480
289	7539	18458
290	7557	18412
291	7582	18384
292	7600	18338
293	7617	18293
294	7631	18239
295	7652	18201
296	7670	18155
297	7686	18105
298	7706	18068
299	7723	18021
300	7738	17970
301	7762	17941
302	7788	17915
303	7813	17887
304	7830	17842
305	7850	17804
306	7868	17762
307	7892	17733
308	7917	17705
309	7935	17662
310	7952	17618
311	7970	17576
312	7985	17526
313	8001	17480
314	8021	17444
315	8034	17391
316	8050	17346
317	8065	17297
318	8091	17272
319	8108	17231
320	8127	17191
321	8146	17152
322	8164	17112
323	8185	17078
324	8198	17026
325	8215	16985
326	8232	16943
327	8248	16899
328	8265	16857
329	8282	16814
330	8304	16784
331	8323	16748
332	8339	16704
333	8357	16664
334	8376	16627
335	8392	16584
336	8413	16552
337	8428	16507
338	8448	16474
339	8472	16445
340	8490	16408
341	8508	16369
342	8523	16327
343	8540	16286
344	8561	16253
345	8583	16223
346	8600	16185
347	8616	16144
348	8635	16108
349	8651	16067
350	8669	16030
351	8689	15996
352	8709	15963
353	8730	15932
354	8749	15896
355	8766	15857
356	8783	15820
357	8801	15782
358	8817	15743
359	8837	15710
360	8853	15671
361	8872	15637
362	8895	15609
363	8911	15569
364	8926	15529
365	8943	15491
366	8958	15452
367	8972	15409
368	8992	15378
369	9010	15342
370	9032	15313
371	9056	15289
372	9072	15249
373	9089	15214
374	9105	15176
375	9126	15145
376	9144	15111
377	9161	15075
378	9176	15035
379	9194	15002
380	9212	14967
381	9229	14931
382	9253	14906
383	9267	14866
384	9284	14831
385	9305	14801
386	9322	14767
387	9338	14730
388	9360	14703
389	9375	14664
390	9405	14648
391	9427	14621
392	9442	14583
393	9464	14556
394	9483	14526
395	9498	14487
396	9516	14454
397	9532	14418
398	9547	14381
399	9565	14348
400	9585	14318
401	9600	14281
402	9616	14245
403	9631	14208
404	9650	14177
405	9663	14138
406	9681	14105
407	9699	14074
408	9716	14040
409	9732	14005
410	9751	13974
411	9768	13941
412	9786	13909
413	9805	13879
414	9826	13851
415	9849	13827
416	9867	13795
417	9887	13766
418	9914	13747
419	9935	13719
420	9950	13684
421	9964	13647
422	9986	13622
423	10001	13587
424	10032	13573
425	10051	13543
426	10066	13508
427	10085	13479
428	10098	13441
429	10116	13410
430	10132	13377
